concept_id,preferred_label,ingredient_family,source_identity_candidate,component_candidates,process_candidates,form_candidates,quality_candidates,normalized_signature,confidence,review_route,exception_reason,definition_status,governance_state,status,rule_version
AOM_001417,Zinc Manganese,Supplement,zinc manganese,,,,,zinc manganese||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001418,Zinc Oxide,Supplement,zinc oxide,,,,,zinc oxide||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001419,Saccharomyces cerevisiae Dried,Probiotic,saccharomyces cerevisiae,,Drying,,,saccharomyces cerevisiae||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001420,Saccharomyces cerevisiae,Probiotic,saccharomyces cerevisiae,,,,,saccharomyces cerevisiae||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001421,Saccharomyces cerevisiae Slurry,Probiotic,saccharomyces cerevisiae slurry,,,,,saccharomyces cerevisiae slurry||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001422,Spent Yeast,Probiotic,spent yeast,,,,,spent yeast||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001423,Bentonite,Other Ingredients,bentonite,,,,,bentonite||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001427,Potassium Carbonate,Supplement,potassium carbonate,,,,,potassium carbonate||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001428,Minerals and Salt,Supplement,minerals and salt,,,,,minerals and salt||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001431,Minerals and Urea Mix,Supplement,minerals and urea mix,,,,,minerals and urea mix||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001433,Tryptophan,Supplement,tryptophan,,,,,tryptophan||||,high,retain_atomic_candidate,,present,unreviewed,proposed-not-applied,1.0.0
AOM_001434,Hominy,Crop Byproduct,hominy,,,,,hominy||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001435,Mango,Crop Product,mango,,,,,mango||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001436,Tomato Skin Seed,Crop Byproduct,tomato skin,Seed,,,,tomato skin|Seed|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001439,Beetroot Discards,Crop Byproduct,beetroot discards,,,,,beetroot discards||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001440,Sesame Seed,Crop Byproduct,sesame,Seed,,,,sesame|Seed|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001441,Pennisetum petiolar,Forage Plants,pennisetum petiolar,,,,,pennisetum petiolar||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001443,Pennisetum,Forage Plants,pennisetum,,,,,pennisetum||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001444,Pennisetum villosum,Forage Plants,pennisetum villosum,,,,,pennisetum villosum||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
