concept_id,scheme_id,module,concept_type,notation,status,hierarchy_level,derived_path,source_row
AOM_003902,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003902,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vernonia amygdalina/Vernonia amygdalina Leaves,1479
AOM_006211,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006211,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vernonia amygdalina/Vernonia amygdalina Wilted,1480
AOM_004614,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_004614,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vernonia amygdalina,1481
AOM_006186,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006186,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Viscum album/Viscum album Dried Ground,1482
AOM_003999,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003999,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Viscum album/Viscum album Leaves,1483
AOM_003984,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003984,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Viscum album,1484
AOM_006184,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006184,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vitex doniana/Vitex doniana Ground Wilted,1485
AOM_006185,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006185,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vitex doniana/Vitex doniana Leaves/Vitex doniana Leaves Dried Ground,1486
AOM_003950,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003950,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vitex doniana/Vitex doniana Leaves/Vitex doniana Leaves Ground,1487
AOM_003926,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003926,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vitex doniana/Vitex doniana Leaves,1488
AOM_002060,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_002060,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Vitex simplex,1489
AOM_006177,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006177,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Ziziphus jujube/Ziziphus jujube Leaves/Ziziphus jujube Leaves Dried,1490
AOM_003981,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003981,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Ziziphus jujube/Ziziphus jujube Leaves,1491
AOM_000726,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000726,staging,7,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Legume Forages,1492
AOM_001205,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001205,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Legume Forages/Aeschynomene histrix,1493
AOM_001203,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001203,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Legume Forages/Alfalfa/Alfalfa Dried,1494
AOM_001774,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001774,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Legume Forages/Alfalfa/Alfalfa Dried Ground,1495
