"concept_id","property","value","value_type","source_column"
"era:practice:d13","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d13","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d13","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d14","legacy_subpractice_code","MM-St","string","Subpractice.Code"
"era:practice:d14","legacy_short_label","Manure Storage","string","Subpractice.S"
"era:practice:d14","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d14","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d14","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d14","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d15","legacy_subpractice_code","MM-Tr","string","Subpractice.Code"
"era:practice:d15","legacy_short_label","Manure Treat","string","Subpractice.S"
"era:practice:d15","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d15","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d15","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d15","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d16","legacy_subpractice_code","PM+RG","string","Subpractice.Code"
"era:practice:d16","legacy_short_label","Grazing Rotation","string","Subpractice.S"
"era:practice:d16","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d16","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d16","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d16","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d11","legacy_subpractice_code","PM+IP+N","string","Subpractice.Code"
"era:practice:d11","legacy_short_label","Pasture Impr (Nfix)","string","Subpractice.S"
"era:practice:d11","short_suffix","Nfix","string","Subpractice.Suffix"
"era:practice:d11","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d11","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d11","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d12","legacy_subpractice_code","PM+IP-N","string","Subpractice.Code"
"era:practice:d12","legacy_short_label","Pasture Impr (nonNfix)","string","Subpractice.S"
"era:practice:d12","short_suffix","nonNfix","string","Subpractice.Suffix"
"era:practice:d12","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d12","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d12","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d19","legacy_subpractice_code","PM+CG","string","Subpractice.Code"
"era:practice:d19","legacy_short_label","Grazing Controlled","string","Subpractice.S"
"era:practice:d19","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d19","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d19","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d19","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d20","legacy_subpractice_code","PM+CC","string","Subpractice.Code"
"era:practice:d20","legacy_short_label","Grazing Cut & Carry","string","Subpractice.S"
"era:practice:d20","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d20","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d20","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d20","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:d1","legacy_subpractice_code","AqS","string","Subpractice.Code"
"era:practice:d1","legacy_short_label","Aquasilviculture","string","Subpractice.S"
"era:practice:d1","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:d1","linked_table","Animals.Out","string","Linked.Tab"
"era:practice:d1","linked_column","A.Level.Name","string","Linked.Col"
"era:practice:d1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:h60","legacy_short_label","Diet Control","string","Subpractice.S"
"era:practice:h60","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:h61","legacy_short_label","Diet Control","string","Subpractice.S"
"era:practice:h61","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:h10.3","legacy_short_label","Manure Hand Conv","string","Subpractice.S"
"era:practice:h10.3","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:h11","legacy_short_label","Pasture Man Conv","string","Subpractice.S"
"era:practice:h11","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:h55.2","legacy_short_label","Unspecified","string","Subpractice.S"
"era:practice:h55.2","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:h55.1","legacy_short_label","Breed Unimpr","string","Subpractice.S"
"era:practice:h55.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b34","legacy_subpractice_code","Ir+Dr","string","Subpractice.Code"
"era:practice:b34","legacy_short_label","Irrigation Drip","string","Subpractice.S"
"era:practice:b34","short_suffix","NA","string","Subpractice.Suffix"
