"concept_id","language","label_type","label","source_column"
"era:practice:b55.3","en","pref","Partial Intercrop (N fixing)","Subpractice"
"era:practice:b55.3","en","alt","Intercrop (Part; Nfix)","Subpractice.S"
"era:practice:b57","en","pref","Complex Intercrop Rotation","Subpractice"
"era:practice:b57","en","alt","Intercrop (Rot; Complex)","Subpractice.S"
"era:practice:b59","en","pref","Intercropping or Rotation (N fixing & Non N fixing)","Subpractice"
"era:practice:b59","en","alt","Int or Rot (Mixed)","Subpractice.S"
"era:practice:c1","en","pref","Biogas","Subpractice"
"era:practice:c1","en","alt","Biogas Prod","Subpractice.S"
"era:practice:c4","en","pref","Biofertilizer","Subpractice"
"era:practice:c3","en","pref","Biogas Switching","Subpractice"
"era:practice:c3","en","alt","Biogas Switch","Subpractice.S"
"era:practice:c2","en","pref","Improved Cookstoves","Subpractice"
"era:practice:c2","en","alt","Cookstove Improv","Subpractice.S"
"era:practice:c5","en","pref","Cookstove Switching","Subpractice"
"era:practice:c5","en","alt","Cookstove Switch","Subpractice.S"
"era:practice:h14","en","pref","Unimproved Stove Technology","Subpractice"
"era:practice:h14","en","alt","Cookstove Unimpr","Subpractice.S"
"era:practice:h15","en","pref","Conventional Biomass Feedstocks","Subpractice"
"era:practice:h15","en","alt","Biomass Feed Conv","Subpractice.S"
"era:practice:h16","en","pref","Predominant Biodigestor Model","Subpractice"
"era:practice:h26","en","pref","Conventional Energy Sources","Subpractice"
"era:practice:h26","en","alt","Cookstove Conv Fuel","Subpractice.S"
"era:practice:b4","en","pref","Drought Tolerance","Subpractice"
"era:practice:b4","en","alt","Seed Drought","Subpractice.S"
"era:practice:b5","en","pref","Heat Tolerance","Subpractice"
"era:practice:b5","en","alt","Seed Heat","Subpractice.S"
"era:practice:b6","en","pref","Salinity Tolerance","Subpractice"
"era:practice:b6","en","alt","Seed Salt","Subpractice.S"
"era:practice:b69","en","pref","Improved Seeds","Subpractice"
"era:practice:b69","en","alt","Seed Improv","Subpractice.S"
