concept_id,preferred_label,recommended_route,public_mapping_schemes,public_mapping_targets
AOM_001281,Potato Hash,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01510;http://purl.obolibrary.org/obo/NCBITaxon_4113;wfo-0001031908
AOM_001297,Maize Sheath,research_public_ontology,agrovoc;cpc-product;ncbi-taxonomy;world-flora-online,0112;http://aims.fao.org/aos/agrovoc/c_a40b4471;http://purl.obolibrary.org/obo/NCBITaxon_4577;wfo-0000907754
AOM_001308,Canola Oil,research_public_ontology,agrovoc;ncbi-taxonomy;world-flora-online,http://aims.fao.org/aos/agrovoc/c_5514;http://purl.obolibrary.org/obo/NCBITaxon_4710;wfo-0000571271
AOM_001309,Canola,research_public_ontology,agrovoc;ncbi-taxonomy;world-flora-online,http://aims.fao.org/aos/agrovoc/c_5514;http://purl.obolibrary.org/obo/NCBITaxon_4710;wfo-0000571271
AOM_001314,Pigeon Pea,research_public_ontology,agrovoc;cpc-product;ncbi-taxonomy;world-flora-online,01707;http://aims.fao.org/aos/agrovoc/c_13356;http://purl.obolibrary.org/obo/NCBITaxon_3821;wfo-0000203743
AOM_001333,Oil,research_public_ontology,agrovoc;ncbi-taxonomy,http://aims.fao.org/aos/agrovoc/c_36344;http://purl.obolibrary.org/obo/NCBITaxon_4710
AOM_001344,Rosemary Oil,research_taxon_insufficient_for_material,ncbi-taxonomy;world-flora-online,http://purl.obolibrary.org/obo/NCBITaxon_39367;wfo-0000298062
AOM_001354,Turmeric,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01699;http://purl.obolibrary.org/obo/NCBITaxon_136217;wfo-0000365771
AOM_001359,Onion Bulb,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01253;http://purl.obolibrary.org/obo/NCBITaxon_4679;wfo-0000755919
AOM_001360,Scarlet Eggplant,research_taxon_insufficient_for_material,ncbi-taxonomy;world-flora-online,http://purl.obolibrary.org/obo/NCBITaxon_205524;wfo-0001025760
AOM_001379,Andropogon,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_15314;wfo-4000002006
AOM_001382,Andropogon abyssinica,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_2003509
AOM_001390,Digitaria nodosa,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_66017;wfo-0000864208
