subject_id,target_scheme,target_id,target_uri,original_value,evidence,status
AOM_000664,ncbi-taxonomy,NCBITaxon_3435,http://purl.obolibrary.org/obo/NCBITaxon_3435,http://purl.obolibrary.org/obo/NCBITaxon_3435,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000664,world-flora-online,wfo-0000465160,,wfo-0000465160,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000664,cpc-product,01311,,01311,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001265,ncbi-taxonomy,NCBITaxon_157914,http://purl.obolibrary.org/obo/NCBITaxon_157914,http://purl.obolibrary.org/obo/NCBITaxon_157914,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001265,world-flora-online,wfo-0000430322,,wfo-0000430322,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001265,feedipedia,12199,https://www.feedipedia.org/node/12199,https://www.feedipedia.org/node/12199,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001193,agrovoc,c_35679,http://aims.fao.org/aos/agrovoc/c_35679,http://aims.fao.org/aos/agrovoc/c_35679,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001193,ncbi-taxonomy,NCBITaxon_3818,http://purl.obolibrary.org/obo/NCBITaxon_3818,http://purl.obolibrary.org/obo/NCBITaxon_3818,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001193,world-flora-online,wfo-0000174378,,wfo-0000174378,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001193,cpc-product,2162,,2162,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003072,ncbi-taxonomy,NCBITaxon_3818,http://purl.obolibrary.org/obo/NCBITaxon_3818,http://purl.obolibrary.org/obo/NCBITaxon_3818,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003072,world-flora-online,wfo-0000174378,,wfo-0000174378,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003072,feedipedia,12165,https://www.feedipedia.org/node/12165,https://www.feedipedia.org/node/12165,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_003072,cpc-product,0142,,0142,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001582,agrovoc,c_14477,http://aims.fao.org/aos/agrovoc/c_14477,http://aims.fao.org/aos/agrovoc/c_14477,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001582,ncbi-taxonomy,NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001582,world-flora-online,wfo-0000181462,,wfo-0000181462,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001582,feedipedia,12625,https://www.feedipedia.org/node/12625,https://www.feedipedia.org/node/12625,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001582,cpc-product,0141,,0141,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001317,agrovoc,c_14477,http://aims.fao.org/aos/agrovoc/c_14477,http://aims.fao.org/aos/agrovoc/c_14477,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001317,ncbi-taxonomy,NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001317,world-flora-online,wfo-0000181462,,wfo-0000181462,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001317,feedipedia,12625,https://www.feedipedia.org/node/12625,https://www.feedipedia.org/node/12625,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001317,cpc-product,0141,,0141,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001309,agrovoc,c_5514,http://aims.fao.org/aos/agrovoc/c_5514,http://aims.fao.org/aos/agrovoc/c_5514,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001309,ncbi-taxonomy,NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001309,world-flora-online,wfo-0000571271,,wfo-0000571271,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001308,agrovoc,c_5514,http://aims.fao.org/aos/agrovoc/c_5514,http://aims.fao.org/aos/agrovoc/c_5514,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001308,ncbi-taxonomy,NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001308,world-flora-online,wfo-0000571271,,wfo-0000571271,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001333,agrovoc,c_36344,http://aims.fao.org/aos/agrovoc/c_36344,http://aims.fao.org/aos/agrovoc/c_36344,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
